# 30/12/2019 03:16:33 PM : Volumes - EPEX Intraday Market Auction 15 minute call - Germany
Delivery day,Hour 1 Q1,Hour 1 Q2,Hour 1 Q3,Hour 1 Q4,Hour 2 Q1,Hour 2 Q2,Hour 2 Q3,Hour 2 Q4,Hour 3A Q1,Hour 3A Q2,Hour 3A Q3,Hour 3A Q4,Hour 3B Q1,Hour 3B Q2,Hour 3B Q3,Hour 3B Q4,Hour 4 Q1,Hour 4 Q2,Hour 4 Q3,Hour 4 Q4,Hour 5 Q1,Hour 5 Q2,Hour 5 Q3,Hour 5 Q4,Hour 6 Q1,Hour 6 Q2,Hour 6 Q3,Hour 6 Q4,Hour 7 Q1,Hour 7 Q2,Hour 7 Q3,Hour 7 Q4,Hour 8 Q1,Hour 8 Q2,Hour 8 Q3,Hour 8 Q4,Hour 9 Q1,Hour 9 Q2,Hour 9 Q3,Hour 9 Q4,Hour 10 Q1,Hour 10 Q2,Hour 10 Q3,Hour 10 Q4,Hour 11 Q1,Hour 11 Q2,Hour 11 Q3,Hour 11 Q4,Hour 12 Q1,Hour 12 Q2,Hour 12 Q3,Hour 12 Q4,Hour 13 Q1,Hour 13 Q2,Hour 13 Q3,Hour 13 Q4,Hour 14 Q1,Hour 14 Q2,Hour 14 Q3,Hour 14 Q4,Hour 15 Q1,Hour 15 Q2,Hour 15 Q3,Hour 15 Q4,Hour 16 Q1,Hour 16 Q2,Hour 16 Q3,Hour 16 Q4,Hour 17 Q1,Hour 17 Q2,Hour 17 Q3,Hour 17 Q4,Hour 18 Q1,Hour 18 Q2,Hour 18 Q3,Hour 18 Q4,Hour 19 Q1,Hour 19 Q2,Hour 19 Q3,Hour 19 Q4,Hour 20 Q1,Hour 20 Q2,Hour 20 Q3,Hour 20 Q4,Hour 21 Q1,Hour 21 Q2,Hour 21 Q3,Hour 21 Q4,Hour 22 Q1,Hour 22 Q2,Hour 22 Q3,Hour 22 Q4,Hour 23 Q1,Hour 23 Q2,Hour 23 Q3,Hour 23 Q4,Hour 24 Q1,Hour 24 Q2,Hour 24 Q3,Hour 24 Q4,Day Volume
21/12/2019,907.6,518.3,653.7,938.8,781.6,383.9,429.3,663.6,461.9,337.2,292.4,370.6,,,,,448.8,379.0,425.6,469.7,458.9,362.5,478.5,533.4,554.6,446.8,511.1,696.6,977.1,624.7,569.9,1169.2,1362.0,761.8,716.2,1316.0,1201.7,576.3,527.6,1137.9,1092.7,487.2,458.9,835.5,758.6,291.1,290.4,623.4,480.2,274.6,370.7,438.4,415.4,290.1,236.4,568.7,648.4,518.0,399.8,795.6,1110.7,581.0,366.4,942.4,1024.0,438.4,404.8,933.0,1079.1,638.4,618.7,1060.9,1041.6,640.3,670.0,987.3,740.0,569.6,550.4,677.5,939.7,550.1,382.9,907.1,1401.4,531.6,639.8,1364.1,717.5,335.1,469.5,735.0,969.8,493.3,572.5,1246.1,1150.8,505.0,576.2,1299.7,64580.6
20/12/2019,1043.4,458.0,680.3,1157.8,512.1,354.6,474.1,683.8,388.2,390.6,380.2,438.9,,,,,510.5,469.6,434.5,506.7,815.1,660.6,621.5,770.6,1220.1,997.4,518.2,1235.2,2198.8,751.8,838.8,1746.8,1690.8,688.6,730.9,1239.7,964.2,637.7,491.1,979.2,1264.6,745.5,564.5,1309.0,774.3,503.5,505.7,817.7,652.5,507.0,399.1,515.2,510.9,494.5,586.8,781.5,985.9,547.2,508.7,997.2,1068.5,501.6,360.5,824.9,893.5,558.3,452.5,678.5,1154.3,657.2,427.5,895.1,708.9,430.9,509.9,720.1,682.9,526.6,497.6,808.0,948.4,612.3,629.7,1073.7,1368.0,749.6,767.5,1421.2,1133.3,621.3,641.9,1083.3,1071.0,677.6,616.4,1352.5,1248.3,646.9,652.6,1271.5,74596.0
19/12/2019,1213.2,447.3,591.1,1140.0,832.7,273.9,363.0,718.0,776.4,462.9,433.2,563.2,,,,,550.9,393.2,385.9,512.7,739.1,529.7,481.0,850.5,1217.4,726.8,522.6,1400.8,2523.9,765.3,833.1,1990.5,1485.7,521.9,741.2,1140.1,745.8,484.6,437.5,678.7,1109.6,648.8,492.2,1187.4,944.0,381.8,478.2,979.9,640.0,335.0,404.7,659.2,479.5,421.6,281.0,472.3,771.9,406.9,400.4,932.8,1176.5,526.3,534.6,1225.9,1198.9,495.3,770.1,1140.6,984.1,454.0,525.5,1000.8,726.9,391.3,419.5,618.5,953.3,518.4,544.4,952.1,771.5,373.9,548.3,1014.3,1223.3,570.2,788.2,1403.5,1040.5,487.0,600.1,1201.8,1399.5,733.7,641.3,1475.8,1420.1,691.6,635.2,1361.9,74439.7
18/12/2019,1090.5,424.8,587.3,902.2,793.1,446.2,531.1,728.8,720.2,560.8,563.0,700.7,,,,,638.2,411.6,514.0,687.2,916.2,582.0,591.4,1181.3,1460.9,818.0,799.2,1680.4,2352.0,719.7,765.3,1878.4,1675.9,862.0,825.1,1392.7,1000.0,771.0,796.3,1005.6,1155.1,741.5,563.8,989.1,1057.2,567.2,565.5,984.4,745.7,563.0,622.0,759.6,697.5,590.8,540.4,746.3,1013.8,628.3,644.2,1126.2,1181.6,600.9,775.9,1249.4,1114.3,580.5,756.4,1132.8,1112.6,656.2,747.8,1300.4,878.1,789.5,871.8,906.6,1090.7,701.2,654.4,1019.6,1579.4,800.0,777.7,1425.1,1709.8,809.1,1036.7,1658.6,1229.5,745.5,678.4,1275.1,1599.9,856.5,776.1,1519.5,1363.3,676.1,603.2,1386.3,88301.2
17/12/2019,1189.8,537.5,651.3,1121.7,817.2,466.4,550.9,810.3,622.2,435.2,354.3,475.9,,,,,784.0,600.1,606.8,791.7,811.8,641.0,536.6,632.3,1323.2,927.6,643.0,1479.5,2491.7,1161.1,1367.2,2325.9,2005.5,971.5,1206.5,1751.0,1411.9,1144.0,1028.6,1529.8,1549.3,1043.5,986.2,1760.5,1005.7,574.0,606.4,1090.4,679.4,476.9,535.6,745.9,702.3,672.4,511.1,668.1,981.7,666.2,633.9,1136.8,1357.9,664.0,686.4,1232.7,1303.6,563.0,704.7,1039.2,1266.4,743.2,666.2,1102.2,1023.4,732.7,804.5,977.9,949.6,699.3,685.1,1081.6,1186.0,506.2,575.1,1153.4,1563.0,626.0,682.4,1318.1,1075.9,595.6,592.9,1250.7,1368.7,853.0,743.9,1217.3,1204.8,658.2,703.5,1373.1,90762.7
16/12/2019,1114.7,518.1,736.6,1028.1,505.6,338.8,365.9,518.5,393.5,302.2,309.0,356.7,,,,,616.5,372.0,338.8,446.9,729.6,448.7,431.3,716.4,1282.9,836.2,556.5,1696.5,2038.4,741.1,1038.0,1769.5,1282.4,494.1,629.0,1209.9,884.7,594.9,385.0,943.6,911.4,477.1,363.7,780.5,780.8,516.7,312.3,648.4,652.9,441.4,272.9,461.2,403.2,384.4,261.4,391.0,586.5,340.4,335.9,793.4,803.3,368.0,326.4,845.1,777.8,378.6,475.6,822.8,618.4,431.6,502.9,723.3,535.3,361.3,313.8,516.5,586.0,420.8,383.1,678.1,850.0,392.4,451.3,866.7,1271.7,648.8,522.5,1273.7,1043.6,507.8,428.4,1088.4,1239.5,621.1,528.8,1231.1,1192.9,566.4,502.6,1243.0,64425.5
15/12/2019,999.0,542.7,714.5,1213.9,889.5,486.9,602.6,942.4,604.2,554.7,507.1,599.1,,,,,554.1,502.5,481.3,507.1,677.8,437.9,464.6,783.5,678.6,492.9,594.7,879.5,918.2,654.0,687.3,844.8,1175.2,730.9,535.8,1029.9,1675.1,981.2,653.7,1332.7,1395.8,715.7,805.9,1363.8,1044.2,770.5,685.3,1090.8,839.0,508.3,651.4,679.0,652.2,685.4,603.4,1010.9,1046.0,752.5,683.7,1178.2,1199.7,584.9,760.9,1228.9,1061.3,463.4,651.8,1172.4,1258.8,643.7,759.0,1193.6,979.5,488.8,600.1,963.7,860.4,672.2,536.7,704.6,923.9,559.9,590.6,734.9,1267.3,779.1,569.4,837.5,780.5,520.5,554.6,761.4,1140.3,767.6,462.7,1059.5,1204.7,642.5,406.4,1055.7,76495.3
14/12/2019,1254.3,639.3,830.9,1322.7,873.9,492.6,472.8,887.6,759.5,305.2,190.4,445.5,,,,,677.8,414.7,254.0,447.0,394.6,232.6,258.2,340.2,360.3,317.1,367.2,435.5,860.0,506.1,418.5,832.7,1115.4,460.7,580.2,1032.0,1143.2,407.9,629.8,1330.3,752.5,486.2,561.1,835.8,785.6,465.8,379.7,860.4,747.3,487.1,444.2,837.0,996.8,495.5,476.5,994.2,892.3,424.5,637.6,981.2,813.3,503.5,544.0,862.2,943.1,521.8,420.7,835.7,913.8,626.7,698.7,981.0,969.7,534.4,812.1,1128.8,735.3,534.7,321.6,746.9,949.3,545.9,639.3,1168.0,1705.4,736.1,846.3,1417.6,870.0,456.1,619.5,864.2,1136.3,682.8,600.9,1065.9,1177.5,553.0,527.0,1213.0,68054.1
13/12/2019,1268.1,555.5,615.6,1411.0,1058.0,595.3,571.5,936.6,546.8,335.3,363.6,359.6,,,,,495.0,441.8,507.7,560.1,670.2,470.2,496.8,779.6,1101.3,778.1,734.0,1669.6,2401.6,749.0,1033.6,1844.7,1372.7,489.7,794.7,1449.3,756.9,397.9,555.3,778.3,670.0,525.8,437.4,757.0,708.2,615.7,351.9,655.3,511.3,331.1,334.1,530.1,724.1,561.9,502.9,768.0,838.3,523.0,450.1,830.6,926.8,474.7,544.9,811.7,587.1,371.1,439.0,699.1,853.9,412.8,507.0,898.7,627.9,602.3,583.9,737.7,902.3,583.4,716.7,823.6,1132.4,694.3,605.9,1132.8,1678.9,657.2,754.2,1425.8,1224.9,660.9,490.5,972.5,1281.1,728.0,701.8,1156.4,1430.4,789.3,692.9,1377.4,74264.0
12/12/2019,1082.8,338.2,607.7,996.8,564.6,428.0,497.2,691.1,441.9,389.6,350.6,516.5,,,,,455.7,432.9,357.6,434.0,745.0,519.3,439.9,678.1,1146.0,825.7,541.4,1278.3,2068.1,860.4,1133.2,2263.7,1387.0,531.5,1030.3,1504.5,910.6,574.0,673.0,618.5,860.3,652.9,492.9,702.8,780.2,412.0,323.5,510.5,668.2,487.3,571.0,659.8,511.2,371.1,398.4,366.9,703.2,511.7,494.7,676.9,674.2,439.9,503.9,867.0,814.1,388.9,503.3,899.3,752.2,479.4,489.0,931.0,759.5,462.1,491.1,823.8,934.6,533.2,631.2,955.2,1120.3,488.9,459.6,1168.3,1686.9,732.4,845.0,1838.9,1327.3,724.5,663.3,1518.6,1503.3,893.5,916.6,1789.7,1424.5,623.9,861.4,1650.8,75039.8
