# 31/12/2019 11:31:27 AM : Prices - EPEX Auction Intraday IDA2 Switzerland
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Minimum,Maximum,Baseload,Off-Peak 2
03/07/2019,,,,,,,,,,,,,,,,,,29.80,32.50,33.30,36.35,34.10,31.55,36.50,32.50,29.80,36.50,33.33,33.66
02/07/2019,,,,,,,,,,,,,,,,,,30.35,33.50,38.01,38.95,37.79,36.65,38.09,36.57,30.35,38.95,36.24,37.28
01/07/2019,,,,,,,,,,,,,,,,,,30.39,30.74,34.47,39.06,39.52,37.43,37.87,33.70,30.39,39.52,35.40,37.13
30/06/2019,,,,,,,,,,,,,,,,,,7.15,24.75,32.75,39.95,41.70,39.30,42.95,36.90,7.15,42.95,33.18,40.21
29/06/2019,,,,,,,,,,,,,,,,,,26.20,30.15,30.70,37.30,36.90,35.05,39.25,33.15,26.20,39.25,33.59,36.09
28/06/2019,,,,,,,,,,,,,,,,,,33.75,37.75,41.75,43.05,39.65,39.97,47.40,39.30,33.75,47.40,40.33,41.58
27/06/2019,,,,,,,,,,,,,,,,,,32.25,35.75,40.75,44.50,42.05,36.00,38.75,32.70,32.25,44.50,37.84,37.38
26/06/2019,,,,,,,,,,,,,,,,,,41.02,42.35,45.08,48.03,43.92,43.52,40.25,36.40,36.40,48.03,42.57,41.02
25/06/2019,,,,,,,,,,,,,,,,,,41.60,41.30,42.05,46.70,43.10,40.95,46.25,41.00,40.95,46.70,42.87,42.83
24/06/2019,,,,,,,,,,,,,,,,,,35.40,39.80,43.70,52.59,42.70,41.30,36.60,32.50,32.50,52.59,40.57,38.28
23/06/2019,,,,,,,,,,,,,,,,,,7.00,23.40,26.80,31.00,35.50,32.55,33.00,28.69,7.00,35.50,27.24,32.44
22/06/2019,,,,,,,,,,,,,,,,,,28.80,31.35,30.70,30.65,30.05,29.35,31.42,29.00,28.80,31.42,30.17,29.96
21/06/2019,,,,,,,,,,,,,,,,,,35.83,38.49,42.26,42.03,41.55,41.33,41.55,37.35,35.83,42.26,40.05,40.45
20/06/2019,,,,,,,,,,,,,,,,,,33.35,36.25,38.91,39.02,37.35,37.35,41.36,37.54,33.35,41.36,37.64,38.40
19/06/2019,,,,,,,,,,,,,,,,,,36.34,36.38,37.46,37.42,34.05,34.40,39.29,36.41,34.05,39.29,36.47,36.04
18/06/2019,,,,,,,,,,,,,,,,,,37.00,39.05,40.30,41.00,40.15,38.10,40.10,38.00,37.00,41.00,39.21,39.09
17/06/2019,,,,,,,,,,,,,,,,,,39.10,37.54,38.45,38.45,37.64,37.55,39.00,37.32,37.32,39.10,38.13,37.88
16/06/2019,,,,,,,,,,,,,,,,,,26.35,30.45,38.35,40.59,41.25,41.25,40.70,39.56,26.35,41.25,37.31,40.69
15/06/2019,,,,,,,,,,,,,,,,,,22.32,26.85,31.09,34.55,33.80,33.05,34.50,33.04,22.32,34.55,31.15,33.60
14/06/2019,,,,,,,,,,,,,,,,,,38.65,41.03,41.05,40.00,41.08,41.08,41.91,37.28,37.28,41.91,40.26,40.34
13/06/2019,,,,,,,,,,,,,,,,,,32.50,33.90,43.72,42.10,42.10,45.15,45.10,36.92,32.50,45.15,40.19,42.32
12/06/2019,,,,,,,,,,,,,,,,,,37.05,38.10,38.60,38.65,38.05,38.15,45.01,38.05,37.05,45.01,38.96,39.82
11/06/2019,,,,,,,,,,,,,,,,,,47.15,47.46,47.58,46.70,47.23,46.78,45.99,41.21,41.21,47.58,46.26,45.30
10/06/2019,,,,,,,,,,,,,,,,,,27.80,30.40,34.78,38.70,37.70,37.70,38.20,33.75,27.80,38.70,34.88,36.84
09/06/2019,,,,,,,,,,,,,,,,,,14.55,23.05,36.94,40.50,38.42,37.45,36.97,32.01,14.55,40.50,32.49,36.21
08/06/2019,,,,,,,,,,,,,,,,,,13.00,12.00,16.68,25.72,28.03,27.98,26.12,25.69,12.00,28.03,21.90,26.96
07/06/2019,,,,,,,,,,,,,,,,,,28.25,33.90,38.20,38.20,36.30,26.40,27.30,24.00,24.00,38.20,31.57,28.50
06/06/2019,,,,,,,,,,,,,,,,,,40.34,43.04,45.59,43.90,40.24,39.70,44.74,41.06,39.70,45.59,42.33,41.44
05/06/2019,,,,,,,,,,,,,,,,,,40.58,46.10,44.86,45.00,46.02,42.92,37.95,29.45,29.45,46.10,41.61,39.09
04/06/2019,,,,,,,,,,,,,,,,,,35.05,41.34,42.01,41.08,42.95,36.50,33.53,28.92,28.92,42.95,37.67,35.48
03/06/2019,,,,,,,,,,,,,,,,,,35.08,40.00,44.00,47.08,44.44,44.23,45.00,39.04,35.08,47.08,42.36,43.18
02/06/2019,,,,,,,,,,,,,,,,,,-2.55,16.05,26.73,31.60,31.73,30.69,32.60,24.73,-2.55,32.60,23.95,29.94
01/06/2019,,,,,,,,,,,,,,,,,,18.25,22.91,30.95,32.03,31.09,31.42,34.00,35.07,18.25,35.07,29.47,32.90
31/05/2019,,,,,,,,,,,,,,,,,,30.60,35.40,42.33,42.56,42.40,42.19,41.88,38.00,30.60,42.56,39.42,41.12
30/05/2019,,,,,,,,,,,,,,,,,,6.75,17.10,23.10,29.40,31.45,31.94,35.40,33.07,6.75,35.40,26.03,32.97
29/05/2019,,,,,,,,,,,,,,,,,,38.50,41.97,45.31,43.33,42.46,43.92,38.56,33.46,33.46,45.31,40.94,39.60
28/05/2019,,,,,,,,,,,,,,,,,,41.22,40.60,41.69,42.63,42.20,42.08,39.88,35.77,35.77,42.63,40.76,39.98
27/05/2019,,,,,,,,,,,,,,,,,,35.55,37.60,41.15,42.95,42.60,42.50,42.63,38.81,35.55,42.95,40.47,41.64
26/05/2019,,,,,,,,,,,,,,,,,,-32.50,0.40,21.63,27.50,29.50,28.00,28.03,23.75,-32.50,29.50,15.79,27.32
25/05/2019,,,,,,,,,,,,,,,,,,33.50,36.25,40.25,44.12,44.95,44.58,43.69,39.62,33.50,44.95,40.87,43.21
24/05/2019,,,,,,,,,,,,,,,,,,32.55,34.50,37.81,40.50,41.85,40.00,40.50,40.00,32.55,41.85,38.46,40.59
23/05/2019,,,,,,,,,,,,,,,,,,37.69,43.06,47.86,48.44,47.50,46.71,45.01,42.99,37.69,48.44,44.91,45.55
22/05/2019,,,,,,,,,,,,,,,,,,35.60,38.80,40.11,45.26,46.50,46.08,46.48,40.09,35.60,46.50,42.37,44.79
21/05/2019,,,,,,,,,,,,,,,,,,38.50,41.25,44.50,44.50,44.00,42.00,40.55,35.55,35.55,44.50,41.36,40.53
20/05/2019,,,,,,,,,,,,,,,,,,52.08,50.63,47.10,50.01,47.70,46.75,44.21,38.94,38.94,52.08,47.18,44.40
19/05/2019,,,,,,,,,,,,,,,,,,30.30,33.52,38.36,41.05,41.90,41.75,42.77,37.75,30.30,42.77,38.43,41.04
18/05/2019,,,,,,,,,,,,,,,,,,35.15,36.35,41.89,44.00,45.17,44.00,44.96,42.50,35.15,45.17,41.75,44.16
17/05/2019,,,,,,,,,,,,,,,,,,40.80,44.08,46.08,47.57,48.42,46.33,45.85,42.49,40.80,48.42,45.20,45.77
16/05/2019,,,,,,,,,,,,,,,,,,39.55,41.00,42.54,43.83,44.02,43.06,42.24,39.41,39.41,44.02,41.96,42.18
15/05/2019,,,,,,,,,,,,,,,,,,33.92,40.75,44.80,45.92,45.91,44.94,44.00,38.92,33.92,45.92,42.40,43.44
14/05/2019,,,,,,,,,,,,,,,,,,34.89,36.88,42.98,44.05,46.06,45.05,43.37,40.82,34.89,46.06,41.76,43.83
13/05/2019,,,,,,,,,,,,,,,,,,32.05,35.50,43.95,47.05,47.05,46.15,45.59,40.50,32.05,47.05,42.23,44.82
12/05/2019,,,,,,,,,,,,,,,,,,11.50,33.05,47.05,45.05,41.05,41.55,42.55,38.55,11.50,47.05,37.54,40.93
11/05/2019,,,,,,,,,,,,,,,,,,29.90,30.15,35.00,35.00,35.00,35.00,38.00,38.00,29.90,38.00,34.51,36.50
10/05/2019,,,,,,,,,,,,,,,,,,45.55,50.08,53.50,55.00,55.26,53.09,52.09,50.08,45.55,55.26,51.83,52.63
09/05/2019,,,,,,,,,,,,,,,,,,48.18,52.06,53.04,55.99,56.20,51.92,50.71,45.93,45.93,56.20,51.75,51.19
08/05/2019,,,,,,,,,,,,,,,,,,37.80,37.55,40.95,40.91,41.96,39.20,37.40,34.01,34.01,41.96,38.72,38.14
07/05/2019,,,,,,,,,,,,,,,,,,47.05,51.55,58.08,61.61,57.88,55.55,53.05,47.55,47.05,61.61,54.04,53.51
06/05/2019,,,,,,,,,,,,,,,,,,44.02,44.42,52.31,57.97,57.92,58.61,57.00,46.75,44.02,58.61,52.38,55.07
05/05/2019,,,,,,,,,,,,,,,,,,26.70,32.15,35.15,43.00,44.03,44.65,45.20,43.00,26.70,45.20,39.24,44.22
04/05/2019,,,,,,,,,,,,,,,,,,31.85,35.15,39.55,41.60,43.18,41.79,43.23,41.19,31.85,43.23,39.69,42.35
03/05/2019,,,,,,,,,,,,,,,,,,40.75,41.70,44.55,46.95,46.70,45.80,45.80,42.75,40.75,46.95,44.38,45.26
02/05/2019,,,,,,,,,,,,,,,,,,37.50,40.07,44.80,45.92,43.05,43.05,42.00,37.50,37.50,45.92,41.74,41.40
01/05/2019,,,,,,,,,,,,,,,,,,3.25,19.55,28.50,34.50,34.95,33.95,34.50,30.30,3.25,34.95,27.44,33.43
30/04/2019,,,,,,,,,,,,,,,,,,38.50,43.50,47.00,51.09,48.75,46.50,44.50,41.05,38.50,51.09,45.11,45.20
29/04/2019,,,,,,,,,,,,,,,,,,34.02,37.20,41.50,44.45,44.20,44.00,42.05,38.90,34.02,44.45,40.79,42.29
28/04/2019,,,,,,,,,,,,,,,,,,30.81,34.10,40.10,42.50,44.40,44.80,46.50,44.00,30.81,46.50,40.90,44.93
27/04/2019,,,,,,,,,,,,,,,,,,31.09,37.07,39.80,44.05,43.08,41.36,39.55,35.01,31.09,44.05,38.88,39.75
26/04/2019,,,,,,,,,,,,,,,,,,37.05,37.05,38.30,38.80,38.80,40.00,39.53,37.68,37.05,40.00,38.40,39.00
25/04/2019,,,,,,,,,,,,,,,,,,35.05,41.31,48.20,43.90,44.34,46.43,40.50,38.10,35.05,48.20,42.23,42.34
24/04/2019,,,,,,,,,,,,,,,,,,32.07,32.99,37.08,38.90,38.65,35.60,35.19,29.10,29.10,38.90,34.95,34.64
23/04/2019,,,,,,,,,,,,,,,,,,27.03,35.70,38.10,41.88,42.45,40.75,36.00,30.80,27.03,42.45,36.59,37.50
22/04/2019,,,,,,,,,,,,,,,,,,-5.00,5.00,12.50,18.30,20.80,18.80,17.50,16.25,-5.00,20.80,13.02,18.34
21/04/2019,,,,,,,,,,,,,,,,,,20.00,27.20,36.00,43.07,40.90,41.15,39.10,38.07,20.00,43.07,35.69,39.81
20/04/2019,,,,,,,,,,,,,,,,,,25.30,36.15,41.45,44.05,40.80,40.10,40.10,40.10,25.30,44.05,38.51,40.28
19/04/2019,,,,,,,,,,,,,,,,,,28.45,33.00,38.20,40.15,42.10,42.10,42.07,38.91,28.45,42.10,38.12,41.30
18/04/2019,,,,,,,,,,,,,,,,,,38.30,39.34,44.02,49.06,48.02,44.05,42.38,42.06,38.30,49.06,43.40,44.13
