# 30/12/2020 11:32:30 AM: Volumes - EPEX Spot Market Auction - germany_luxembourg
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
08/12/2020,19301.1,20406.4,21108.3,,20725.2,21144.5,19519,19279.6,22830.7,22805.5,23327.5,23384,23957.3,24174.9,23645.5,23139.5,22867.1,24178.2,24708.4,23968.9,21775.1,22293,20472.8,20055.3,19546.5,528614.3
07/12/2020,24170.4,25284.3,25960.8,,26534.5,26067.1,26056.7,25969.4,27810.1,26035.9,26435.5,26965.3,26972.4,26984.1,25992.3,24725.6,23979.6,24663,25748.2,25245.6,24753.5,24620.1,22586.2,21449.6,21334.3,606344.5
06/12/2020,22436.5,22839.5,22391.5,,22087.2,21898.1,22812,23779.5,25098.3,23775.7,23176.4,23155.3,23515.9,23912.4,23080.9,22189.1,22597.8,22048.8,23065.4,23096.9,23168.6,23785.5,23344,23011.9,23433.6,553700.8
05/12/2020,19141.8,19672.3,20482.3,,20873.2,20985.6,20908.3,20945.3,19995.9,18359.6,20511.8,20658.2,21125,21825.7,20794.9,19995.7,19152.8,20361.6,21443.9,21473,20616.9,19656.5,18779.4,18485.3,19784.3,486029.3
04/12/2020,21920.2,22737.5,23539.6,,24069.9,24346.1,22432.3,21244.4,24428.1,23105.2,23418.2,23511.8,23345.3,23243,22818.2,22281.6,22412.8,22996.4,23366.1,22571.6,22402.9,23282.3,21410.9,20813.9,19635.7,545334
03/12/2020,20567,20352.1,20885,,20966.1,20819.4,20261.4,21960.3,24421.1,25581.5,25088,25230.8,25285.8,25029.6,24281.8,24193.2,24116.7,24883.1,25079,24364.1,24541,23438.8,21846.3,21057.2,21822,556071.3
02/12/2020,16886.1,17748.9,17696,,17419.6,16691.5,16879.7,18574.8,21538.5,20729.2,20547.9,20864.9,20985.6,20727.5,20487.9,20856.8,20317,21415,22564,21700,21611.9,20978.1,18906.5,17814.7,17584.1,471526.2
01/12/2020,19594.6,19975.5,19660.8,,19120.5,19122.1,18940.1,19683.4,22685.9,21153,21482.9,22273.6,22946.9,23338.3,22705.8,22836.2,22966.8,24134.9,23206,23019.7,23061.8,22901,20963.8,20135.9,19288.9,515198.4
30/11/2020,20670.5,21805.1,22068.1,,20937.5,20014.9,19387.2,21394.5,24510.4,25328.4,25523.2,25859.1,25908.1,25169,24828.2,24183.8,23146.6,23643.4,24267.7,23146.4,23432.5,21027,21564.9,22250.4,22027.3,552094.2
29/11/2020,20208.9,21285.7,20703.7,,20009.8,19759.7,20382.2,21087.8,22438,20984.2,21580.1,22836.1,23949.2,24374.1,24123,21856.2,19588.1,20231.9,21383.4,21931.8,21651.9,20683.8,20817.8,20753.5,22108.3,514729.2
28/11/2020,21118.7,21491,21647.6,,21359.1,20615.7,21025.8,22083,21681.4,20152.1,20822.1,22450.6,23055.9,23656.3,23414.2,21606.6,19392.9,19667.2,21342,21901.4,21293.9,21241.3,21261.5,20176.5,21223.8,513680.6
27/11/2020,18542.4,18452.8,18669,,19001.7,19110.5,19124,21212.8,23986.1,23773.7,23761.6,24100.1,24423.5,24024.7,23831.9,23292.8,22161.3,23129.8,23578,23029.8,22649,21850.1,20312.8,20517.3,20809.6,523345.3
26/11/2020,19895.6,20170.9,20193.4,,19684.5,18973.3,19716,20589.8,23526.2,22143.9,22013.6,22458,22742.2,22809.1,22684.8,22431.3,21728.2,23649.5,23630.2,23403.4,22844.1,23430.4,21020.8,20133.1,19719.5,519591.8
25/11/2020,19059.9,19353.2,19533.7,,19824.7,19561.9,19098.1,21212.2,24406.7,22899.3,22746.2,22721.1,23288.3,24128.5,23394.4,23491.8,22939.6,23768.7,23728.8,22832.1,22269.3,23226.4,21845.5,19840.8,20267.2,525438.4
24/11/2020,18777.3,20522.5,21087.9,,20360.8,20351,19404,20731.1,24221,21314.4,21836.7,21898.1,22367.8,22076.4,21708.3,21921.2,22145.8,23405.3,24013.7,23269.9,22597.7,22237.9,20157.2,18988,18684.8,514078.8
23/11/2020,23357.6,23678,24201.8,,23480.6,23338.9,21714.6,22899,24114.4,22844.5,24268,24947,25412.9,25559.1,24622,22960.8,23332.9,24395.5,25242.9,24134.5,23565.3,23761.3,22875.5,23816.2,21401.4,569924.7
22/11/2020,23759,24550.1,24752.5,,24713.5,24792.3,25281,25950.1,25290.9,24110.6,23555,24090.7,24384.3,24623.7,24108.1,23146.3,21545.5,22422.8,23761.2,24127,25754.9,26684.8,25382.3,26099.4,25584,588470
21/11/2020,22777.3,22839.4,23050.5,,23257.1,23236.4,23057.6,22687.1,22228.5,22093.7,22644.7,23425.6,24064.6,24415.3,23530.1,23098.6,22541.7,22883.2,24321,24522.4,23354.1,22381.6,23114.2,22261.3,23311.9,555097.9
20/11/2020,21170.3,21379.3,21076,,21209.9,21465.5,21469,22835.7,24896.7,26775.2,27023.7,28722.9,29690.3,29693.1,28287.2,28455.3,28623.5,29918.6,30365.1,29195.3,28928,23910.9,22928.7,22144.5,21760.9,611925.6
19/11/2020,25148.2,25465.4,25653.6,,25828,25761,25588.3,25903.6,27242,27939,28175.8,28989.8,28571.1,28340.9,28243.7,28062.1,27805.8,28665.7,29647.9,28825.6,27936.9,25884.3,24273.5,23226.1,23116.9,644295.2
18/11/2020,20728.3,21136.4,21268.3,,21005.6,21327.1,20956.2,22792.4,25534.4,24712.7,24610.3,25049.7,25405.8,25578.3,25410.2,25131.6,24903.7,24966.4,25808.6,25164.6,24730.8,25077.1,26472.3,25086.2,23731.5,576588.5
17/11/2020,20061.7,20247.7,20255,,21832.7,22028.4,20967.6,22537.9,24774.5,23539.6,23765,24157.3,24466.4,24297.5,24226.3,24080.8,23912.2,25167.8,26041.5,25124.4,24414.4,23415.8,21982.1,20530.1,20034.9,551861.6
