# 16/01/2020 06:03:08 PM : Block Values - EPEX Spot Intraday Trading - France
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
29/08/2019,9,10,0.0,19.0,55.00000,55.00000,55.00000,28/08/2019 22:07:00,,55.00000
29/08/2019,7,10,0.0,105.0,47.48000,47.48000,47.48000,28/08/2019 22:06:00,,47.48000
28/08/2019,8,9,17.0,0.0,50.00000,50.00000,50.00000,27/08/2019 22:01:00,,50.00000
28/08/2019,6,7,72.0,0.0,38.50000,38.50000,38.50000,27/08/2019 22:01:00,,38.50000
27/08/2019,17,18,26.8,26.8,70.00000,70.00000,70.00000,27/08/2019 14:25:00,,70.00000
26/08/2019,18,19,24.0,96.0,47.98000,47.98000,47.98000,25/08/2019 22:22:00,,47.98000
26/08/2019,18,22,30.0,99.0,45.90000,45.90000,45.90000,25/08/2019 22:15:00,,45.90000
23/08/2019,3,6,20.0,20.0,29.00000,29.00000,29.00000,22/08/2019 22:54:00,,29.00000
23/08/2019,3,5,145.0,120.0,25.96000,29.50000,29.50000,23/08/2019 00:49:00,,26.93824
23/08/2019,1,24,925.0,925.0,37.40000,40.00000,37.40000,22/08/2019 23:54:00,,39.08551
22/08/2019,2,4,41.5,72.0,26.97000,26.97000,26.97000,21/08/2019 22:31:00,,26.97000
20/08/2019,18,19,0.0,99.0,39.50000,39.50000,39.50000,19/08/2019 22:07:00,,39.50000
20/08/2019,5,10,0.0,49.0,31.05000,31.05000,31.05000,19/08/2019 21:56:00,,31.05000
18/08/2019,18,21,0.0,29.0,29.15000,29.15000,29.15000,17/08/2019 22:05:00,,29.15000
18/08/2019,18,20,17.0,34.0,26.08000,29.45000,29.45000,17/08/2019 22:05:00,,27.76500
16/08/2019,11,19,4.0,4.0,30.00000,32.00000,32.00000,16/08/2019 07:55:00,,30.45000
11/08/2019,21,24,4.0,4.0,39.00000,39.00000,39.00000,11/08/2019 08:06:00,,39.00000
09/08/2019,12,17,6.0,9.0,29.96000,30.00000,30.00000,08/08/2019 22:11:00,,29.98000
09/08/2019,12,16,8.0,12.0,31.96000,32.00000,32.00000,08/08/2019 22:11:00,,31.98000
09/08/2019,13,14,105.0,140.0,31.96000,35.26000,35.26000,08/08/2019 22:14:00,,32.91500
09/08/2019,12,14,142.0,175.0,31.96000,35.12000,35.12000,08/08/2019 22:14:00,,32.60914
05/08/2019,4,6,245.5,245.5,25.00000,25.00000,25.00000,04/08/2019 20:16:00,,25.00000
03/08/2019,18,21,248.0,0.0,38.50000,38.50000,38.50000,03/08/2019 14:24:00,,38.50000
02/08/2019,11,14,0.0,179.0,35.00000,43.61000,43.61000,01/08/2019 22:01:00,,36.73078
02/08/2019,14,17,348.0,348.0,42.00000,42.00000,42.00000,02/08/2019 09:29:00,,42.00000
02/08/2019,10,16,49.9,94.9,35.99000,36.00000,36.00000,01/08/2019 22:00:00,,35.99067
02/08/2019,4,9,400.0,400.0,37.50000,37.50000,37.50000,02/08/2019 01:09:00,,37.50000
01/08/2019,1,24,85.0,85.0,40.00000,40.00000,40.00000,31/07/2019 22:09:00,,40.00000
30/07/2019,15,16,80.0,80.0,22.98000,22.98000,22.98000,30/07/2019 11:23:00,,22.98000
30/07/2019,22,24,95.0,95.0,42.00000,42.00000,42.00000,30/07/2019 19:53:00,,42.00000
30/07/2019,15,17,114.0,60.0,22.08000,22.08000,22.08000,29/07/2019 22:04:00,,22.08000
26/07/2019,20,22,225.0,0.0,55.50000,55.50000,55.50000,25/07/2019 22:07:00,,55.50000
24/07/2019,22,24,174.0,0.0,59.64000,60.04000,59.64000,23/07/2019 22:40:00,,59.84000
23/07/2019,13,17,0.0,3.5,44.00000,44.00000,44.00000,23/07/2019 08:52:00,,44.00000
