# 31/12/2013 04:19:26 PM : Block Values - EPEX Spot Intraday Trading - France
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
05/12/2013,1,24,20.0,20.0,77.00000,77.00000,77.00000,04/12/2013 21:07:00,,77.00000
05/12/2013,3,6,114.0,114.0,52.00000,52.00000,52.00000,04/12/2013 22:42:00,,52.00000
04/12/2013,13,16,50.0,100.0,70.00000,75.00000,75.00000,04/12/2013 10:12:00,,72.50000
04/12/2013,19,20,25.0,25.0,110.00000,110.00000,110.00000,04/12/2013 14:54:00,,110.00000
03/12/2013,18,24,10.0,10.0,82.00000,82.00000,82.00000,03/12/2013 09:36:00,,82.00000
03/12/2013,1,6,25.0,25.0,57.00000,57.00000,57.00000,02/12/2013 19:44:00,,57.00000
03/12/2013,2,6,12.0,12.0,66.66000,66.66000,66.66000,02/12/2013 22:46:00,,66.66000
03/12/2013,22,24,50.0,50.0,76.00000,76.00000,76.00000,03/12/2013 18:25:00,,76.00000
03/12/2013,15,17,50.0,50.0,79.00000,79.00000,79.00000,03/12/2013 08:52:00,,79.00000
02/12/2013,4,5,113.0,113.0,38.00000,38.00000,38.00000,01/12/2013 22:09:00,,38.00000
02/12/2013,22,24,100.0,100.0,66.00000,66.00000,66.00000,02/12/2013 16:48:00,,66.00000
02/12/2013,9,20,50.0,50.0,77.00000,77.00000,77.00000,02/12/2013 01:56:00,,77.00000
01/12/2013,17,23,120.0,120.0,61.00000,62.00000,62.00000,01/12/2013 08:45:00,,61.33333
30/11/2013,14,24,34.0,34.0,64.00000,64.00000,64.00000,30/11/2013 09:10:00,,64.00000
30/11/2013,18,23,30.0,30.0,68.00000,68.00000,68.00000,30/11/2013 10:09:00,,68.00000
30/11/2013,9,22,142.0,142.0,70.00000,70.00000,70.00000,30/11/2013 02:58:00,,70.00000
